tot_lic,lg_lic,sm_lic,st_lic,inc_lic,tot_IP,tot_st,instate_st,co_fips
309,130,144,35,59181199,1093,32,24,01073
206,50,131,25,10169302,947,15,8,01081
26,4,4,18,10399375,263,35,35,01089
25,5,9,14,23162288,183,9,9,01097
49,5,15,29,588647,487,22,16,01125
26,0,3,9,66000,73,4,3,02020
9,0,3,6,208934,220,5,1,04005
779,305,356,117,32846980,2540,101,83,04013
734,237,299,167,17532078,1898,93,71,04019
68,19,27,22,12485622,376,21,19,05119
373,118,225,30,9738011,419,23,18,05143
3057,1462,862,733,1604827738,18636,771,648,06001
1048,289,455,304,377288353,7608,227,144,06037
0,0,0,0,0,4,0,0,06065
106,16,41,25,5457866,314,13,12,06073
2,0,2,0,20000,7,0,0,06079
1370,154,275,96,878535113,5693,145,129,06085
4,0,0,2,769803,48,2,1,08031
683,131,336,216,127657935,2747,118,96,08041
81,30,36,15,719456,283,7,6,08059
354,98,203,57,23083938,1191,57,54,08069
162,42,69,51,11728925,897,43,38,09013
72,9,34,29,3232998,503,28,11,10003
165,47,83,35,93615990,685,22,0,11001
2,1,0,0,136250,8,0,0,12009
1,1,0,0,11903,13,0,0,12031
7,1,6,0,9072,19,0,0,12033
737,289,328,120,35309062,1837,88,71,12057
0,0,0,0,0,2,0,0,12071
139,37,59,43,12714171,693,32,26,12073
1787,242,1296,249,469794611,3828,154,97,12083
195,26,96,70,35227385,1088,43,39,12086
224,55,100,66,13797794,1246,60,41,12095
16,4,6,6,502131,115,4,3,12099
0,0,0,0,0,20,0,0,12127
1768,290,1395,83,146394989,1802,45,34,13059
469,179,237,53,165996665,2405,53,30,13089
614,272,182,160,25716668,4093,106,90,13121
94,46,25,23,4979003,430,10,10,13245
82,16,37,29,4156001,586,20,22,15003
178,109,58,11,199706,154,5,5,16001
1,0,0,0,0,14,0,0,16005
80,9,64,7,6243959,277,7,4,16019
970,211,566,192,239485371,4246,135,94,17019
737,243,298,192,2900079245,3718,141,91,17031
4,1,3,0,211953,72,0,0,17037
1,0,1,1,0,6,0,0,17097
3,1,0,2,2100,14,0,0,17113
29,2,15,13,5297377,150,8,5,17163
7,3,4,0,503699,102,2,2,18035
472,165,222,85,86632489,2258,85,73,18105
121,27,35,40,3342743,634,22,12,18141
1236,261,368,74,61558978,3512,171,128,18157
23,11,9,3,525319,88,6,6,19013
1374,235,995,144,247850193,2530,94,83,19169
230,90,89,37,67371631,876,30,19,20045
0,0,0,0,0,0,0,0,20125
155,51,83,21,23228429,539,15,8,20161
12,1,5,2,19250,69,3,3,20173
5,4,1,0,108272,22,0,0,20209
145,27,23,95,31219382,823,78,68,21067
157,10,57,44,7335602,975,25,18,21111
293,39,196,51,101683893,1585,47,36,22033
9,0,0,0,104900,59,4,0,22055
47,8,19,14,1325136,225,13,11,22061
65,9,25,36,61068538,437,26,18,22071
16,0,0,0,369982,19,1,0,23019
4,1,3,0,343839,82,0,0,24005
301,135,141,25,11926461,2382,25,18,24027
26,8,12,6,469722,81,0,0,24031
496,115,230,144,22858782,3098,116,95,24033
1509,633,718,157,219664343,5283,143,110,24510
2420,754,708,523,1092486073,13091,409,267,25017
160,31,63,63,32916816,992,39,25,25021
41,8,2,15,2175994,197,7,2,25025
498,207,211,80,455426043,2066,50,41,25027
147,79,30,38,4007822,508,23,15,26061
552,114,384,54,55942015,1589,27,23,26065
3,1,1,1,2000,50,1,0,26077
1444,386,735,323,295641491,4380,135,99,26161
94,23,28,34,37143361,647,23,19,26163
1456,730,600,126,589791675,3546,120,93,27053
13,0,2,0,451306,18,0,0,28035
54,2,19,33,17466088,140,16,11,28071
104,11,68,25,3529666,550,27,25,28105
719,220,438,61,99759776,1857,61,42,29019
81,30,9,7,23592765,219,7,5,29189
517,150,212,155,3802313,283,18,17,30031
0,0,0,0,0,0,0,0,30047
11,0,7,4,34776,24,1,1,30063
10,4,4,3,445396,40,2,1,31055
516,117,304,95,68684808,2130,79,62,31109
15,8,1,6,597835,139,5,3,32003
30,13,13,2,1547038,231,7,7,32031
108,13,73,22,48228397,720,17,10,33009
652,376,258,10,5352552,429,7,7,33017
427,312,83,32,3189415,794,10,8,34013
2,1,0,1,156000,21,0,0,34015
52,13,25,14,6181781,316,31,30,34017
112,18,58,36,864392000,710,20,8,34021
824,83,655,86,133194189,1683,53,34,34023
499,38,169,288,19813172,1360,97,55,35001
24,5,8,11,560132,127,12,7,35013
621,177,265,179,150836784,3409,117,91,36001
173,62,61,35,42878907,570,30,10,36005
307,69,159,77,444303665,1774,45,34,36055
1930,813,632,366,4714799471,6922,317,111,36061
71,16,36,19,5758181,503,12,10,36083
1066,155,781,130,104301997,4046,105,68,36109
7,0,1,6,148000,21,3,3,37037
1275,650,471,154,300891492,2627,77,51,37063
123,19,6,17,451752667,569,27,19,37067
51,18,17,16,949622,195,11,11,37081
96,61,14,19,870141,517,41,39,37119
13,0,0,0,289,16,2,0,37129
708,158,283,267,39917520,1686,82,74,37135
39,12,16,11,4280836,161,8,6,37147
1280,427,679,174,51872716,2579,88,82,37183
902,59,836,8,20982296,541,8,6,38017
4,0,3,1,492254,84,1,0,38035
17,2,7,8,71091161,314,11,10,39009
4,0,3,1,5820246,80,2,2,39017
500,188,144,100,86116911,2422,57,43,39035
519,171,249,98,24158478,3061,92,65,39049
18,5,10,3,186479,110,2,2,39057
248,83,131,34,6295821,1303,34,18,39061
171,50,83,38,13982258,755,26,20,39095
36,2,17,4,1084485,171,3,1,39113
32,6,11,15,2443432,103,6,4,39133
72,20,22,30,11400827,766,40,39,39153
8,3,0,5,41125,61,2,2,39173
96,26,27,43,18379043,730,31,27,40027
113,16,72,25,22413470,574,25,22,40109
0,0,0,0,0,0,0,0,40143
795,53,685,57,48334534,787,35,33,41003
477,115,325,36,87404919,412,19,16,41039
975,167,736,72,21470048,1694,50,41,41051
1888,865,731,291,945097926,5620,219,155,42003
292,101,99,92,28971077,1676,67,53,42027
14,4,2,8,1660421,210,4,4,42095
1629,433,906,290,344251714,7053,224,182,42101
48,3,34,11,9551543,368,9,5,44007
32,20,11,2,3222908,155,0,0,44009
121,33,25,63,8312650,994,44,40,45035
134,49,36,49,17094382,1002,34,28,45077
109,14,52,43,5538403,689,33,33,45079
63,24,13,25,16342132,365,3,3,46011
2,0,2,0,189506,57,5,5,46027
977,236,624,117,130911435,3321,90,73,47037
8,0,5,3,180996,93,2,2,47157
12,4,8,0,4097982,59,0,0,48029
0,0,0,0,1792,2,0,0,48113
6,4,2,0,42118,32,0,0,48121
50,21,22,7,3018397,212,6,6,48167
982,251,581,141,312926423,3450,110,84,48201
74,8,19,47,2535007,504,29,24,48303
1,0,0,1,0,12,1,1,48309
62,16,28,18,955215,333,9,7,48439
1842,740,756,369,665881675,7684,262,220,48453
736,173,490,73,112953814,2478,63,56,48463
146,29,89,28,8268900,797,36,35,49005
827,176,449,202,367180995,2251,190,158,49035
334,51,126,157,33529988,1220,100,93,49049
78,14,28,36,4227192,488,34,22,50019
40,13,9,18,833370,357,15,8,51059
327,159,127,41,23969391,1687,42,26,51121
726,360,229,137,56580025,2064,61,49,51540
2,0,0,2,31878,6,1,0,51660
35,13,13,9,5647598,89,9,2,51710
185,68,84,33,25863915,1222,32,30,51760
2,0,0,2,2000,15,1,1,51830
491,118,319,54,12513966,964,53,40,53001
2973,1388,1345,240,763982309,4421,151,124,53005
64,15,36,13,2388828,355,11,9,54061
975,375,450,154,580463422,5458,94,58,55025
55,11,16,19,3106014,342,10,8,55079
85353,27114,38695,13376,41024014618,303183,9963,7278,NA
