cbsa_code,cbsa_name,totalhh,with_broadband,count,dig_pov,pct_digital_poverty
19820,"Detroit-Warren-Dearborn, MI Metro Area",1689899,1351135,1280,207,0.16171875
16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",3495535,2873787,2200,185,0.08409090909090909
35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",7195244,5943840,4611,154,0.03339839514205162
31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",4336685,3634220,2887,151,0.05230342916522342
19100,"Dallas-Fort Worth-Arlington, TX Metro Area",2535829,2116960,1320,145,0.10984848484848485
26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",2310145,1910604,1062,127,0.11958568738229755
33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",2100124,1673192,1193,106,0.08885163453478626
32820,"Memphis, TN-MS-AR Metro Area",497063,364801,307,105,0.34201954397394135
17460,"Cleveland-Elyria, OH Metro Area",855658,677052,629,101,0.16057233704292528
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",2262139,1867574,1455,96,0.06597938144329897
35380,"New Orleans-Metairie, LA Metro Area",480365,362208,391,89,0.22762148337595908
38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",1656488,1387620,980,85,0.08673469387755102
41700,"San Antonio-New Braunfels, TX Metro Area",803034,640084,451,83,0.18403547671840353
41180,"St. Louis, MO-IL Metro Area",1117126,902693,612,71,0.11601307189542484
13820,"Birmingham-Hoover, AL Metro Area",440651,337251,263,58,0.22053231939163498
12580,"Baltimore-Columbia-Towson, MD Metro Area",1043127,876113,669,57,0.08520179372197309
28140,"Kansas City, MO-KS Metro Area",819661,678466,513,56,0.10916179337231968
32580,"McAllen-Edinburg-Mission, TX Metro Area",234879,153425,112,53,0.4732142857142857
26900,"Indianapolis-Carmel-Anderson, IN Metro Area",767328,621505,396,53,0.13383838383838384
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",2064463,1741068,943,50,0.053022269353128315
21340,"El Paso, TX Metro Area",265837,197839,160,48,0.3
29820,"Las Vegas-Henderson-Paradise, NV Metro Area",767954,622392,487,48,0.09856262833675565
27140,"Jackson, MS Metro Area",210967,156798,128,47,0.3671875
29460,"Lakeland-Winter Haven, FL Metro Area",231260,153951,153,46,0.3006535947712418
33340,"Milwaukee-Waukesha-West Allis, WI Metro Area",628538,507892,427,44,0.10304449648711944
16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",925300,774597,535,38,0.07102803738317758
31140,"Louisville/Jefferson County, KY-IN Metro Area",501246,396704,304,37,0.12171052631578948
36420,"Oklahoma City, OK Metro Area",510441,410890,353,36,0.10198300283286119
17140,"Cincinnati, OH-KY-IN Metro Area",845470,698034,495,32,0.06464646464646465
30780,"Little Rock-North Little Rock-Conway, AR Metro Area",282138,215585,163,31,0.1901840490797546
24660,"Greensboro-High Point, NC Metro Area",295973,212468,167,31,0.18562874251497005
23420,"Fresno, CA Metro Area",304269,237123,197,31,0.15736040609137056
15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",476048,371774,291,31,0.10652920962199312
17900,"Columbia, SC Metro Area",308718,240162,186,30,0.16129032258064516
12540,"Bakersfield, CA Metro Area",267180,204989,146,29,0.19863013698630136
24860,"Greenville-Anderson-Mauldin, SC Metro Area",338714,259908,195,29,0.14871794871794872
10740,"Albuquerque, NM Metro Area",348046,268312,201,29,0.14427860696517414
40060,"Richmond, VA Metro Area",484729,395030,290,29,0.1
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",2189888,1939641,1346,29,0.021545319465081723
46140,"Tulsa, OK Metro Area",380053,302680,272,28,0.10294117647058823
38300,"Pittsburgh, PA Metro Area",1003171,802052,697,28,0.040172166427546625
40140,"Riverside-San Bernardino-Ontario, CA Metro Area",1347211,1121861,816,28,0.03431372549019608
12260,"Augusta-Richmond County, GA-SC Metro Area",214489,158111,118,27,0.2288135593220339
12940,"Baton Rouge, LA Metro Area",301463,236958,150,27,0.18
28940,"Knoxville, TN Metro Area",342365,263174,198,26,0.13131313131313133
27260,"Jacksonville, FL Metro Area",553919,459390,258,24,0.09302325581395349
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",703961,578651,375,24,0.064
45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",1195960,986516,730,24,0.03287671232876712
16700,"Charleston-North Charleston, SC Metro Area",285612,223507,153,22,0.1437908496732026
49660,"Youngstown-Warren-Boardman, OH-PA Metro Area",230243,174286,155,21,0.13548387096774195
18140,"Columbus, OH Metro Area",783395,663800,429,20,0.046620046620046623
49180,"Winston-Salem, NC Metro Area",262671,202495,149,19,0.12751677852348994
48620,"Wichita, KS Metro Area",246047,194788,152,18,0.11842105263157894
45060,"Syracuse, NY Metro Area",257606,205150,184,18,0.09782608695652174
44700,"Stockton-Lodi, CA Metro Area",226727,181235,139,17,0.1223021582733813
25540,"Hartford-West Hartford-East Hartford, CT Metro Area",471152,392339,285,17,0.05964912280701754
45780,"Toledo, OH Metro Area",245840,195514,163,16,0.09815950920245399
40380,"Rochester, NY Metro Area",431319,349257,264,16,0.06060606060606061
16860,"Chattanooga, TN-GA Metro Area",214328,164636,117,15,0.1282051282051282
47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",642655,533081,407,15,0.036855036855036855
44140,"Springfield, MA Metro Area",237677,188667,137,13,0.0948905109489051
39300,"Providence-Warwick, RI-MA Metro Area",627503,508944,365,13,0.03561643835616438
19380,"NA",330381,269447,208,11,0.052884615384615384
41860,"San Francisco-Oakland-Hayward, CA Metro Area",1691967,1494418,970,11,0.01134020618556701
35300,"New Haven-Milford, CT Metro Area",329857,267241,189,10,0.05291005291005291
46060,"Tucson, AZ Metro Area",400907,333218,240,10,0.041666666666666664
36540,"Omaha-Council Bluffs, NE-IA Metro Area",354195,294317,252,10,0.03968253968253968
33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",1366959,1176177,785,9,0.011464968152866241
19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",253614,197830,133,8,0.06015037593984962
15980,"Cape Coral-Fort Myers, FL Metro Area",271812,223128,164,8,0.04878048780487805
10420,"Akron, OH Metro Area",285353,228105,169,8,0.047337278106508875
36740,"Orlando-Kissimmee-Sanford, FL Metro Area",854764,725906,388,8,0.020618556701030927
12420,"Austin-Round Rock, TX Metro Area",740720,641558,345,7,0.020289855072463767
14460,"Boston-Cambridge-Newton, MA-NH Metro Area",1819086,1575490,989,7,0.007077856420626896
14260,"Boise City, ID Metro Area",253531,202193,95,6,0.06315789473684211
35840,"North Port-Sarasota-Bradenton, FL Metro Area",324203,267069,172,6,0.03488372093023256
19740,"Denver-Aurora-Lakewood, CO Metro Area",1094028,951240,614,6,0.009771986970684038
39580,"Raleigh, NC Metro Area",481226,419063,221,5,0.02262443438914027
36260,"Ogden-Clearfield, UT Metro Area",205820,179831,116,4,0.034482758620689655
25420,"Harrisburg-Carlisle, PA Metro Area",228652,184232,123,4,0.032520325203252036
19780,"Des Moines-West Des Moines, IA Metro Area",246304,205936,130,4,0.03076923076923077
42540,"Scranton--Wilkes-Barre--Hazleton, PA Metro Area",225466,170311,169,4,0.023668639053254437
10580,"Albany-Schenectady-Troy, NY Metro Area",350292,293391,215,4,0.018604651162790697
46520,"Urban Honolulu, HI Metro Area",306489,260885,225,4,0.017777777777777778
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",319220,259151,179,3,0.01675977653631285
24340,"Grand Rapids-Wyoming, MI Metro Area",388060,322427,205,3,0.014634146341463415
40900,"Sacramento--Roseville--Arden-Arcade, CA Metro Area",819372,706040,484,3,0.006198347107438017
37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",270686,234863,170,2,0.011764705882352941
49340,"Worcester, MA-CT Metro Area",351735,293596,195,2,0.010256410256410256
14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",340486,296536,209,2,0.009569377990430622
41620,"Salt Lake City, UT Metro Area",389330,333049,220,2,0.00909090909090909
41740,"San Diego-Carlsbad, CA Metro Area",1118429,992637,619,2,0.0032310177705977385
42660,"Seattle-Tacoma-Bellevue, WA Metro Area",1470225,1308306,714,2,0.0028011204481792717
37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",228888,194409,111,1,0.009009009009009009
44060,"Spokane-Spokane Valley, WA Metro Area",220945,183987,121,1,0.008264462809917356
31540,"Madison, WI Metro Area",262403,224037,127,1,0.007874015748031496
38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",925609,806957,489,1,0.002044989775051125
17820,"Colorado Springs, CO Metro Area",260555,232357,132,0,0
39340,"Provo-Orem, UT Metro Area",162369,140609,126,0,0
41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",650834,591017,382,0,0
