cbsa_code,cbsa_name,tracts,households,price,income,pi,pi_map,pi_10,pi_90,pi_10_90
29340,"Lake Charles, LA",44,78923,"$121,900","$47,417",2.7,Normal range,16%,0%,84%
29420,"Lake Havasu City-Kingman, AZ",43,82145,"$133,421","$39,304",3.3,Normal range,7%,2%,91%
29460,"Lakeland-Winter Haven, FL",153,223048,"$107,168","$45,107",2.41,Normal range,20%,1%,80%
29540,"Lancaster, PA",98,196171,"$184,935","$59,194",3.17,Normal range,1%,1%,98%
29620,"Lansing-East Lansing, MI",117,177844,"$129,935","$54,040",2.44,Normal range,18%,0%,82%
29700,"Laredo, TX",60,71092,"$104,915","$37,553",2.97,Normal range,5%,0%,95%
29740,"Las Cruces, NM",39,74166,"$134,192","$38,845",3.46,Normal range,0%,0%,100%
29820,"Las Vegas-Henderson-Paradise, NV",465,706363,"$189,144","$57,061",3.28,Normal range,3%,1%,96%
29940,"Lawrence, KS",21,44046,"$188,562","$54,058",3.83,Normal range,0%,10%,90%
30020,"Lawton, OK",31,43796,"$106,352","$45,966",2.34,Low,26%,0%,74%
30140,"Lebanon, PA",31,52247,"$157,048","$56,354",2.77,Normal range,0%,0%,100%
30300,"Lewiston, ID-WA",16,25424,"$168,250","$49,124",3.5,Normal range,0%,0%,100%
30340,"Lewiston-Auburn, ME",27,43979,"$144,141","$48,573",3.23,Normal range,0%,4%,96%
30460,"Lexington-Fayette, KY",125,191480,"$184,745","$58,687",3.32,Normal range,2%,3%,95%
30620,"Lima, OH",33,40039,"$93,806","$44,257",2.11,Low,30%,0%,70%
30700,"Lincoln, NE",72,122324,"$164,921","$60,814",2.9,Normal range,3%,1%,96%
30780,"Little Rock-North Little Rock-Conway, AR",161,276975,"$139,426","$51,047",2.8,Normal range,6%,1%,93%
30860,"Logan, UT-ID",26,39754,"$191,508","$55,419",3.61,Normal range,0%,0%,100%
30980,"Longview, TX",44,77182,"$111,250","$47,256",2.39,Normal range,25%,0%,75%
31020,"Longview, WA",24,39671,"$163,350","$47,919",3.55,Normal range,8%,4%,88%
31080,"Los Angeles-Long Beach-Anaheim, CA",2671,4000000,"$531,387","$69,734",7.92,Very high,0%,66%,34%
31140,"Louisville/Jefferson County, KY-IN",298,488806,"$157,713","$55,743",2.83,Normal range,4%,1%,95%
31180,"Lubbock, TX",69,109013,"$114,925","$50,400",2.28,Low,36%,0%,64%
31340,"Lynchburg, VA",57,99136,"$158,163","$48,862",3.24,Normal range,2%,2%,96%
31420,"Macon, GA",59,84104,"$111,212","$39,863",2.94,Normal range,10%,3%,86%
31460,"Madera, CA",23,43574,"$199,922","$47,224",4.25,Normal range,0%,9%,91%
31540,"Madison, WI",123,250760,"$233,064","$67,469",3.58,Normal range,0%,4%,96%
31700,"Manchester-Nashua, NH",82,152665,"$238,184","$75,463",3.39,Normal range,2%,2%,95%
31740,"Manhattan, KS",16,33276,"$175,794","$50,483",3.96,Normal range,0%,19%,81%
31860,"Mankato-North Mankato, MN",23,37640,"$167,326","$55,724",3.13,Normal range,0%,0%,100%
31900,"Mansfield, OH",30,47935,"$91,247","$41,959",2.13,Low,27%,0%,73%
32580,"McAllen-Edinburg-Mission, TX",112,227477,"$84,465","$36,182",2.35,Low,28%,0%,72%
32780,"Medford, OR",41,83969,"$234,912","$46,243",5.18,High,2%,17%,80%
32820,"Memphis, TN-MS-AR",298,485368,"$127,419","$48,999",2.63,Normal range,15%,1%,84%
32900,"Merced, CA",48,77273,"$187,896","$45,500",4.24,Normal range,0%,13%,88%
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",1164,2000000,"$249,547","$56,979",4.34,High,4%,12%,83%
33140,"Michigan City-La Porte, IN",28,43052,"$134,371","$49,362",2.73,Normal range,7%,0%,93%
33220,"Midland, MI",19,33757,"$126,021","$56,069",2.27,Low,11%,0%,89%
33260,"Midland, TX",28,55589,"$174,121","$72,796",2.32,Low,36%,0%,64%
33340,"Milwaukee-Waukesha-West Allis, WI",414,614116,"$177,728","$57,436",3.12,Normal range,3%,1%,96%
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",775,1300000,"$230,227","$72,714",3.32,Normal range,0%,3%,97%
33540,"Missoula, MT",19,45862,"$248,821","$49,260",5.21,High,0%,11%,89%
33660,"Mobile, AL",111,151758,"$116,826","$40,888",3.01,Normal range,4%,2%,95%
33700,"Modesto, CA",93,169428,"$206,899","$50,979",4.13,Normal range,0%,4%,96%
33740,"Monroe, LA",45,65097,"$109,156","$39,314",2.84,Normal range,11%,0%,89%
33780,"Monroe, MI",38,58516,"$134,774","$56,596",2.38,Normal range,13%,0%,87%
33860,"Montgomery, AL",93,143221,"$132,146","$47,749",2.89,Normal range,6%,2%,91%
34060,"Morgantown, WV",30,48596,"$156,187","$49,706",3.33,Normal range,10%,3%,87%
34100,"Morristown, TN",21,44209,"$126,410","$41,545",3.11,Normal range,0%,0%,100%
34580,"Mount Vernon-Anacortes, WA",29,46108,"$263,786","$56,669",4.77,High,0%,10%,90%
34620,"Muncie, IN",29,45985,"$76,724","$37,704",2.16,Low,55%,0%,45%
34740,"Muskegon, MI",42,64914,"$94,874","$43,534",2.17,Low,26%,0%,74%
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",103,172687,"$184,714","$46,803",3.89,Normal range,2%,3%,95%
34900,"Napa, CA",39,49330,"$576,218","$80,131",7.23,Very high,0%,56%,44%
34940,"Naples-Immokalee-Marco Island, FL",73,133331,"$380,940","$64,825",5.4,High,0%,25%,75%
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",371,673826,"$208,734","$61,289",3.45,Normal range,0%,2%,98%
35100,"New Bern, NC",26,48504,"$148,750","$46,989",3.35,Normal range,0%,4%,96%
35300,"New Haven-Milford, CT",184,320440,"$235,243","$67,310",3.7,Normal range,0%,5%,95%
35380,"New Orleans-Metairie, LA",380,467370,"$204,427","$50,066",4.51,High,1%,16%,83%
35620,"New York-Newark-Jersey City, NY-NJ-PA",4153,6300000,"$478,723","$79,660",6.83,Very high,0%,39%,61%
35660,"Niles-Benton Harbor, MI",47,61121,"$131,066","$48,290",2.74,Normal range,6%,0%,94%
35840,"North Port-Sarasota-Bradenton, FL",171,310033,"$219,283","$54,921",3.76,Normal range,8%,8%,84%
35980,"Norwich-New London, CT",64,106164,"$245,302","$71,599",3.55,Normal range,0%,2%,98%
36100,"Ocala, FL",61,132277,"$109,415","$39,625",2.73,Normal range,13%,0%,87%
36140,"Ocean City, NJ",32,40073,"$405,150","$63,882",6.34,High,0%,44%,56%
36220,"Odessa, TX",28,50950,"$116,243","$59,356",1.9,Very low,61%,0%,39%
36260,"Ogden-Clearfield, UT",113,196303,"$206,548","$67,128",3.1,Normal range,0%,0%,100%
36420,"Oklahoma City, OK",348,494095,"$134,212","$53,975",2.5,Normal range,20%,0%,79%
36500,"Olympia-Tumwater, WA",49,103468,"$238,018","$64,701",3.77,Normal range,2%,2%,96%
36540,"Omaha-Council Bluffs, NE-IA",248,340787,"$156,420","$63,061",2.56,Normal range,13%,0%,86%
36740,"Orlando-Kissimmee-Sanford, FL",378,799578,"$170,091","$53,200",3.14,Normal range,4%,2%,94%
36780,"Oshkosh-Neenah, WI",41,69169,"$137,963","$53,351",2.69,Normal range,7%,2%,90%
36980,"Owensboro, KY",29,46287,"$114,952","$48,705",2.39,Normal range,7%,0%,93%
37100,"Oxnard-Thousand Oaks-Ventura, CA",168,266913,"$501,056","$83,478",6.12,High,1%,29%,70%
37340,"Palm Bay-Melbourne-Titusville, FL",110,223972,"$156,573","$50,598",3.07,Normal range,5%,0%,95%
37460,"Panama City, FL",45,72463,"$158,867","$47,871",3.34,Normal range,2%,0%,98%
37620,"Parkersburg-Vienna, WV",28,38657,"$103,850","$43,623",2.39,Normal range,7%,0%,93%
37860,"Pensacola-Ferry Pass-Brent, FL",95,174981,"$135,520","$50,701",2.63,Normal range,11%,0%,89%
37900,"Peoria, IL",93,150752,"$127,353","$55,969",2.34,Low,27%,1%,72%
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1445,2200000,"$244,075","$69,622",3.6,Normal range,1%,3%,95%
38060,"Phoenix-Mesa-Scottsdale, AZ",955,1600000,"$212,435","$61,552",3.36,Normal range,5%,2%,92%
38220,"Pine Bluff, AR",29,34934,"$75,738","$35,308",2.18,Low,34%,0%,66%
38300,"Pittsburgh, PA",690,987182,"$134,621","$54,651",2.44,Normal range,27%,1%,73%
38340,"Pittsfield, MA",39,54854,"$231,739","$56,676",4.17,Normal range,0%,5%,95%
38540,"Pocatello, ID",22,30424,"$149,123","$49,594",3.15,Normal range,0%,0%,100%
38940,"Port St. Lucie, FL",77,171776,"$169,699","$48,721",3.36,Normal range,5%,4%,91%
38860,"Portland-South Portland, ME",111,211470,"$249,754","$63,227",4.08,Normal range,0%,4%,96%
38900,"Portland-Vancouver-Hillsboro, OR-WA",483,887326,"$301,797","$66,658",4.73,High,0%,9%,91%
39140,"Prescott, AZ",42,93445,"$209,407","$46,193",4.52,High,2%,14%,83%
39300,"Providence-Warwick, RI-MA",358,617031,"$255,591","$61,275",4.55,High,0%,12%,88%
39340,"Provo-Orem, UT",123,147881,"$249,679","$70,118",3.64,Normal range,0%,2%,98%
39380,"Pueblo, CO",52,62853,"$130,177","$44,229",3.07,Normal range,0%,2%,98%
39460,"Punta Gorda, FL",38,73299,"$174,795","$46,819",3.61,Normal range,3%,0%,97%
39540,"Racine, WI",44,75291,"$163,461","$57,946",2.94,Normal range,9%,2%,89%
39580,"Raleigh, NC",219,457266,"$243,535","$73,053",3.49,Normal range,0%,5%,95%
39660,"Rapid City, SD",28,56314,"$172,907","$51,993",3.37,Normal range,0%,0%,100%
39740,"Reading, PA",90,152451,"$146,676","$55,039",2.66,Normal range,16%,1%,83%
39820,"Redding, CA",47,69021,"$227,919","$49,258",4.7,High,0%,4%,96%
39900,"Reno, NV",103,164037,"$246,996","$62,247",3.96,Normal range,3%,7%,90%
40060,"Richmond, VA",282,462507,"$215,706","$63,647",3.59,Normal range,0%,3%,97%
40140,"Riverside-San Bernardino-Ontario, CA",806,1300000,"$261,609","$58,664",4.51,High,1%,9%,90%
40220,"Roanoke, VA",64,128877,"$174,800","$51,386",3.4,Normal range,0%,0%,100%
40340,"Rochester, MN",50,83819,"$179,544","$67,554",2.72,Normal range,2%,0%,98%
40380,"Rochester, NY",259,426068,"$124,005","$53,232",2.37,Low,23%,0%,77%
40420,"Rockford, IL",81,131087,"$106,480","$49,922",2.18,Low,36%,0%,64%
40580,"Rocky Mount, NC",32,57781,"$102,716","$40,131",2.59,Normal range,6%,0%,94%
40660,"Rome, GA",20,35114,"$123,095","$45,330",2.84,Normal range,5%,5%,90%
40900,"Sacramento--Roseville--Arden-Arcade, CA",471,791651,"$314,756","$66,468",4.94,High,0%,15%,85%
40980,"Saginaw, MI",56,77928,"$84,370","$43,557",1.84,Very low,57%,0%,43%
41420,"Salem, OR",69,142750,"$202,410","$52,390",3.97,Normal range,0%,3%,97%
41500,"Salinas, CA",84,121484,"$440,211","$64,908",6.56,Very high,0%,39%,61%
41540,"Salisbury, MD-DE",92,149286,"$249,490","$56,284",4.29,High,1%,7%,92%
41620,"Salt Lake City, UT",218,372152,"$255,523","$68,563",3.8,Normal range,1%,3%,96%
41660,"San Angelo, TX",24,43823,"$120,867","$49,249",2.44,Normal range,25%,0%,75%
41700,"San Antonio-New Braunfels, TX",437,762056,"$150,394","$57,914",2.6,Normal range,21%,1%,78%
41740,"San Diego-Carlsbad, CA",592,1100000,"$483,982","$73,306",6.75,Very high,1%,46%,53%
41860,"San Francisco-Oakland-Hayward, CA",928,1600000,"$708,646","$95,629",7.69,Very high,0%,60%,40%
41940,"San Jose-Sunnyvale-Santa Clara, CA",375,633061,"$804,098","$106,472",7.58,Very high,1%,65%,34%
42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",50,103424,"$508,868","$66,373",8.36,Very high,0%,68%,32%
42100,"Santa Cruz-Watsonville, CA",52,95062,"$606,544","$73,481",8.56,Very high,0%,87%,13%
42140,"Santa Fe, NM",49,61238,"$312,316","$59,051",5.21,High,2%,20%,78%
42200,"Santa Maria-Santa Barbara, CA",78,131238,"$607,383","$73,738",7.93,Very high,0%,56%,44%
42220,"Santa Rosa, CA",97,184794,"$491,327","$69,937",7.09,Very high,0%,56%,44%
42340,"Savannah, GA",83,136407,"$188,547","$50,215",4.22,Normal range,2%,10%,88%
42540,"Scranton--Wilkes-Barre--Hazleton, PA",167,221259,"$125,442","$47,443",2.66,Normal range,6%,0%,94%
42660,"Seattle-Tacoma-Bellevue, WA",699,1400000,"$368,275","$78,768",4.72,High,0%,12%,88%
42680,"Sebastian-Vero Beach, FL",29,57829,"$196,110","$49,872",3.62,Normal range,7%,7%,86%
42700,"Sebring, FL",24,40487,"$91,113","$35,328",2.61,Normal range,21%,0%,79%
43100,"Sheboygan, WI",26,47152,"$150,054","$56,297",2.66,Normal range,0%,0%,100%
43300,"Sherman-Denison, TX",26,47161,"$106,581","$48,191",2.2,Low,31%,0%,69%
43340,"Shreveport-Bossier City, LA",101,168798,"$116,425","$42,015",2.82,Normal range,10%,0%,90%
43420,"Sierra Vista-Douglas, AZ",30,48320,"$128,450","$42,511",3.12,Normal range,3%,0%,97%
43580,"Sioux City, IA-NE-SD",39,62864,"$111,308","$52,133",2.13,Low,36%,0%,64%
43620,"Sioux Falls, SD",55,90367,"$168,527","$64,057",2.65,Normal range,4%,0%,96%
43780,"South Bend-Mishawaka, IN-MI",84,118299,"$109,523","$47,880",2.32,Low,26%,0%,74%
43900,"Spartanburg, SC",78,123060,"$113,922","$43,662",2.68,Normal range,6%,1%,92%
44060,"Spokane-Spokane Valley, WA",120,211843,"$184,527","$50,427",3.8,Normal range,0%,3%,98%
44100,"Springfield, IL",55,87662,"$120,493","$54,866",2.25,Low,20%,0%,80%
44140,"Springfield, MA",126,227245,"$212,356","$58,654",3.96,Normal range,0%,6%,94%
44180,"Springfield, MO",89,178708,"$127,976","$44,942",2.91,Normal range,0%,0%,100%
44220,"Springfield, OH",43,54131,"$98,274","$44,836",2.22,Low,23%,0%,77%
41060,"St. Cloud, MN",37,72955,"$164,857","$58,225",2.92,Normal range,3%,0%,97%
41100,"St. George, UT",21,50256,"$212,576","$52,149",4.1,Normal range,0%,0%,100%
41140,"St. Joseph, MO-KS",34,47028,"$113,647","$47,476",2.41,Normal range,21%,0%,79%
41180,"St. Louis, MO-IL",606,1100000,"$161,332","$59,059",2.73,Normal range,14%,2%,84%
44300,"State College, PA",27,55339,"$219,596","$60,454",4.37,High,0%,11%,89%
44420,"Staunton-Waynesboro, VA",24,47852,"$185,029","$49,810",3.76,Normal range,0%,4%,96%
44700,"Stockton-Lodi, CA",137,219110,"$226,133","$54,153",4.22,Normal range,0%,7%,93%
44940,"Sumter, SC",23,40815,"$99,500","$40,330",2.51,Normal range,13%,0%,87%
45060,"Syracuse, NY",175,247066,"$125,988","$56,286",2.38,Low,31%,2%,66%
45220,"Tallahassee, FL",77,134927,"$158,436","$52,636",3.19,Normal range,3%,3%,95%
45300,"Tampa-St. Petersburg-Clearwater, FL",715,1100000,"$162,284","$51,529",3.11,Normal range,10%,3%,88%
45460,"Terre Haute, IN",44,65607,"$86,461","$42,546",2.11,Low,48%,0%,52%
45500,"Texarkana, TX-AR",33,55770,"$94,233","$40,334",2.35,Low,21%,0%,79%
45540,"The Villages, FL",16,49334,"$135,994","$40,940",3.17,Normal range,13%,0%,88%
45780,"Toledo, OH",158,239131,"$105,489","$46,687",2.35,Low,38%,2%,60%
45820,"Topeka, KS",57,92964,"$113,581","$51,667",2.2,Low,32%,0%,68%
45940,"Trenton, NJ",76,130129,"$298,274","$78,086",3.67,Normal range,3%,5%,92%
46060,"Tucson, AZ",235,390143,"$174,196","$51,040",3.46,Normal range,7%,3%,90%
46140,"Tulsa, OK",268,369744,"$133,831","$53,874",2.48,Normal range,21%,0%,78%
46220,"Tuscaloosa, AL",58,84006,"$158,285","$45,135",4.2,Normal range,2%,10%,88%
46340,"Tyler, TX",40,78040,"$126,268","$49,831",2.54,Normal range,18%,0%,83%
46520,"Urban Honolulu, HI",205,287116,"$614,522","$83,702",7.54,Very high,0%,63%,37%
46540,"Utica-Rome, NY",86,115296,"$107,171","$49,707",2.23,Low,34%,0%,66%
46660,"Valdosta, GA",34,51447,"$114,800","$39,378",3.02,Normal range,9%,0%,91%
46700,"Vallejo-Fairfield, CA",91,142988,"$294,797","$70,942",4.22,Normal range,1%,3%,96%
47020,"Victoria, TX",24,35311,"$117,575","$54,754",2.12,Low,38%,0%,63%
47220,"Vineland-Bridgeton, NJ",30,50408,"$151,697","$50,525",3.12,Normal range,0%,0%,100%
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",395,625546,"$235,275","$61,930",3.94,Normal range,1%,5%,95%
47300,"Visalia-Porterville, CA",76,133632,"$163,216","$43,595",3.85,Normal range,0%,1%,99%
47380,"Waco, TX",53,90649,"$105,076","$46,315",2.4,Normal range,34%,0%,66%
47460,"Walla Walla, WA",12,23535,"$187,892","$48,390",3.94,Normal range,0%,0%,100%
47580,"Warner Robins, GA",31,67724,"$118,868","$48,377",2.57,Normal range,10%,0%,90%
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",1307,2100000,"$425,189","$101,952",4.32,High,0%,10%,90%
47940,"Waterloo-Cedar Falls, IA",50,67011,"$128,202","$51,506",2.56,Normal range,16%,0%,84%
48060,"Watertown-Fort Drum, NY",22,40030,"$140,200","$51,243",2.79,Normal range,0%,0%,100%
48140,"Wausau, WI",27,54003,"$138,737","$53,964",2.64,Normal range,0%,0%,100%
48260,"Weirton-Steubenville, WV-OH",37,50554,"$83,005","$41,348",2.09,Low,43%,0%,57%
48300,"Wenatchee, WA",22,41548,"$235,550","$54,772",4.33,High,0%,0%,100%
48540,"Wheeling, WV-OH",47,59557,"$96,200","$42,328",2.29,Low,36%,0%,64%
48660,"Wichita Falls, TX",40,55425,"$88,708","$44,758",1.97,Low,68%,0%,33%
48620,"Wichita, KS",151,241978,"$121,298","$53,490",2.27,Low,32%,1%,68%
48700,"Williamsport, PA",29,45587,"$133,945","$48,860",2.76,Normal range,0%,0%,100%
48900,"Wilmington, NC",57,107988,"$222,323","$52,921",4.34,High,2%,12%,86%
49020,"Winchester, VA-WV",24,50487,"$205,588","$57,772",3.7,Normal range,4%,0%,96%
49180,"Winston-Salem, NC",147,254734,"$149,129","$48,402",3.25,Normal range,1%,2%,97%
49340,"Worcester, MA-CT",189,339174,"$246,210","$70,263",3.71,Normal range,0%,4%,96%
49420,"Yakima, WA",45,80196,"$148,731","$45,940",3.29,Normal range,0%,2%,98%
49620,"York-Hanover, PA",90,168008,"$160,009","$58,533",2.76,Normal range,1%,0%,99%
49660,"Youngstown-Warren-Boardman, OH-PA",155,229342,"$90,843","$41,733",2.08,Low,40%,0%,60%
49700,"Yuba City, CA",34,57314,"$196,629","$51,850",3.9,Normal range,0%,0%,100%
49740,"Yuma, AZ",50,69745,"$112,838","$43,491",2.63,Normal range,14%,0%,86%
