rd_total,rd_total_biz,co_code
5860.04,100.66,01015
2195530.85,155157.28,01073
657226.48,27041.91,01081
91853.29,845.13,01087
568105.44,8202.99,01089
196633.21000000002,6844.62,01097
21082.72,0,01101
657226.48,27041.91,01123
263624.99,10593.85,01125
90202.23,3257.3,02020
709000.29,24147.22,02090
7247.6900000000005,129.55,02110
152229.57,2431.43,04005
2026263.56,67782.39,04013
2825172.21,69664.26,04019
45924.87,412.51,05031
15900.95,46.76,05045
40237.130000000005,0,05069
40237.130000000005,0,05079
646084.6699999999,6463.77,05119
603459.59,48545.479999999996,05143
3749124.49,378676.51,06001
11064.630000000001,617.09,06007
38235.13,775.02,06019
48999.67,3118.63,06023
11617.78,188.81,06029
9894998.9,449593.93,06037
124821.06999999999,3335.1,06047
473357.58999999997,2157.82,06053
1666986.91,96491.35,06059
652687.95,34444.24,06065
75049.87,2126.29,06067
207993.42,8580.13,06071
7284460.82,462886.66,06073
5304897.32,299949.23,06075
18297.41,1434.91,06077
76723.85,5784.46,06079
1068255,110615.44,06083
4722597.89,376200.18,06085
703877.17,38119.91,06087
3363818.7199999997,199656.04,06095
5080.389999999999,0,06097
6207.18,1049.29,06099
19986.27,206.01,06111
3341576.9699999997,194799.3,06113
408.14,223.31,08001
1876654.05,56581.66,08013
2031422.18,176871.9,08031
267022.15,6734.08,08041
274551.78,75689.58,08059
1523870.5499999998,53761.94,08069
16408.22,173.54999999999998,08123
36358.34,195.21,09001
23249.989999999998,88.84,09003
36387.59,427.57,09007
3634900.35,182384.12,09009
8704.83,0,09011
1188788.04,41722.47,09013
3478.6899999999996,0,09015
81204.6,746.59,10001
811663.34,27323.88,10003
2480224.9,53093.06,11001
3355552.46,152377.11000000002,12001
71905.61,8526.15,12009
67937.54,7065.16,12011
22282.96,1667.1,12031
116827.65,4957.8,12033
2207213.38,113798.86,12057
936.93,0,12069
50718.65,10229.48,12071
1381892.85,12550.11,12073
5770.17,679.4,12081
2278278.86,130381.95,12086
815682.87,39139.78,12095
149445.43,4007.82,12099
31124.350000000002,572.25,12103
193.06,0,12105
5770.17,679.4,12115
75032.06,5159.91,12127
143342.65,33206.75,13021
72337.79,31506.53,13031
7516.01,2137.75,13045
16018.9,129.26999999999998,13051
1701513.65,51590.26,13059
22295.53,544.21,13067
19704.63,0,13079
2681113.47,145384.23,13089
7686.94,584.25,13095
4268694.78,206660.49,13121
19704.63,0,13153
19704.63,0,13193
7686.94,584.25,13205
1366.28,13.36,13215
19704.63,0,13225
312332.43,13218.67,13245
7686.94,584.25,13321
67961.68,191.32,15001
1472607.32,38365.51,15003
132637.82,1447.45,16001
94647.63,4932.3,16005
451803.9,10145.63,16057
2972692.51,189865.13999999998,17019
758.12,45.97,17029
7385249.22,307558.24,17031
758.12,45.97,17035
92802.53,3671.6899999999996,17037
35071.88,767.28,17043
294663.31,33520.520000000004,17077
77797.29000000001,6198.07,17097
8193.55,247.67,17109
87706.2,494.9,17113
101645.08,11997.6,17119
9635.4,4026.52,17143
9561.779999999999,0,17167
885.41,0,17197
294663.31,33520.520000000004,17199
3726.45,0,18011
530.12,0,18019
1633.75,120.75999999999999,18021
49595.54,1393.52,18035
530.12,0,18043
3726.45,0,18045
53925.6,3003.36,18089
14798.21,48.410000000000004,18091
1016397.75,51936.020000000004,18097
1451137.92,48426.11,18105
3726.45,0,18107
14798.21,48.410000000000004,18127
845365.75,26899.71,18141
2984580.34,188008.75,18157
8880.14,1480.6699999999998,18167
498.56,3.6,18177
17259.7,452.87,19013
17200.57,14.95,19099
2077899.35,83067.35,19103
4380.19,194.85,19153
17200.57,14.95,19157
13267.32,0,19163
1362095.95,88061.22,19169
9090.98,3311.4,20021
9090.98,3311.4,20037
1385377.1,52999.990000000005,20045
1382712.33,52999.990000000005,20087
1382712.33,52999.990000000005,20103
856034.71,22848.88,20161
284215.17,138177.71,20173
28988.8,166.77,21005
10118.83,0,21011
41711.57,566.93,21031
11235.31,796.53,21035
9195.24,73.25,21037
10118.83,0,21043
41711.57,566.93,21061
10118.83,0,21063
1582189.12,59909.06,21067
10118.83,0,21069
28988.8,166.77,21073
11235.31,796.53,21083
28988.8,166.77,21103
859671.68,34412.56,21111
10831.7,119.17,21151
10118.83,0,21205
28988.8,166.77,21211
41711.57,566.93,21227
28988.8,166.77,21239
122505.41,8926.41,22015
122505.41,8926.41,22017
6826.05,26.240000000000002,22019
1374682.96,63295.5,22033
325091.75,58116.83,22055
7974.15,485.22999999999996,22057
120497.99,2950.67,22061
4205.16,0,22069
1146765.61,38601.46,22071
10773.17,163.49,22073
1993.5500000000002,373.26,22081
9694.44,71.57,22105
9937.72,56,23001
60728.32,450.56,23005
3062.17,0,23009
8459.82,0,23011
397681.19,14309.36,23019
17029.34,14.02,23023
31897.27,1351.3700000000001,23031
48310.94,41.74,24003
412403.93,9939.2,24005
275912.74,3565.4,24019
1092098.51,0,24031
2341546.12,32291.53,24033
39788.57,4.55,24039
35278.38,273.25,24045
12735820.64,341017.26,24510
972054.87,28537.29,25001
22364.12,0,25003
121852.45,2140.02,25005
23390.26,0,25011
1622.6399999999999,320.62,25013
998082.0700000001,33668.03,25015
10289168.88,927066.57,25017
1767905.81,37584.47,25021
2587945.08,71554.3,25025
1321881.42,51175.46,25027
14539.08,0,26005
4106.74,73.78,26017
2000.51,339.11,26033
16810.69,3678.18,26049
326815.98,26763.24,26061
2513516.77,37161.55,26065
60802.94,1170.6100000000001,26073
90320.32,6372.47,26077
85923.69,5093.84,26081
1006.12,8.1,26103
86130.9,6711.26,26125
51056.33,97.64,26139
6356250.17,248947.75,26161
1072652.4,33773.74,26163
13232.68,0,27013
33848.68,8.57,27037
33848.68,8.57,27049
4029335.8,134460.01,27053
13232.68,0,27103
11228.65,268.47,27123
33848.68,8.57,27131
110649.24,2318.79,27137
25870.15,2151.99,27145
4711.9,299.95,27149
46811.93,859.78,28021
254562.95,24907.52,28035
158299.55,0,28049
46811.93,859.78,28063
514045.57,29699.170000000002,28071
1031041.1599999999,55068.13,28105
19561.95,0,29001
1117347.52,29410.17,29019
30903.579999999998,0,29051
175532.58000000002,20921.93,29065
17253.54,1522.24,29077
130095.28,3008.4700000000003,29095
175532.58000000002,20921.93,29125
175532.58000000002,20921.93,29161
3307207.7600000002,253570.84,29189
3439875.19,276013.7,29510
53281.61,3202.93,30023
528703.78,3846.13,30031
53281.61,3202.93,30043
6259.35,0,30047
281900.32,3580.67,30063
53281.61,3202.93,30093
7714.18,21.57,31019
828706.91,49753.6,31055
1274581.72,78192.93,31109
2030.34,0,31151
206673.96,3020.09,32003
540551.09,9112.6,32031
7746.6,0,33005
984510.0499999999,28186.2,33009
694175.26,36542.5,33015
694175.26,36542.5,33017
4198.99,60.980000000000004,34001
22026.3,181.28,34007
1106892.53,45231.48,34013
30878.85,3027.2599999999998,34015
149213.38,5079.25,34017
1323972.51,45448.61,34021
2610897.64,95574.89,34023
2469.46,220.92000000000002,34025
1523.71,50.57,34027
24411.26,1049.47,34031
4435.9800000000005,107.16,34039
1061853.25,18025.05,35001
440.96,0,35009
615658.31,17139.66,35013
440.96,0,35041
4530.36,0,35047
152723.63,9411.35,35053
1296264.73,286001.87,36001
24111.71,4035.63,36003
381808.93,4000.0499999999997,36005
363791.17,16033.98,36007
1598.6,29.29,36009
1448.68,1.88,36011
3751.41,0,36019
768.44,1.88,36023
8266.2,43.72,36027
1773902.7,101061.41,36029
255658.38,9745.49,36047
6931.29,4.68,36051
13281.779999999999,32.29,36053
1876859.82,93268.71,36055
425875.34,22000.5,36059
12184238.92,533337.07,36061
9231.16,0,36063
948171.0700000001,478410.15,36065
606409.95,36256.71,36067
5532.78,55.120000000000005,36069
62325.270000000004,0,36071
6202.79,4.55,36073
680.24,0,36075
851.94,2.81,36077
110234.06,2639.12,36081
457217.67000000004,30406.800000000003,36083
17574.77,1782.48,36085
62007.2,9481.1,36089
8060.56,2.86,36091
8828.41,14.68,36093
851.94,2.81,36095
5532.78,55.120000000000005,36099
1414376.07,48337.72,36103
4123345.9,170452.25,36109
91107.78,14005.869999999999,36119
5532.78,55.120000000000005,36123
10231.35,2.86,37001
12575.779999999999,191.46,37021
8724.119999999999,316.98,37025
15013.5,0,37029
10231.35,2.86,37033
70908.2,630.79,37051
4796795.95,1044283.3,37063
842363.98,47880.38,37067
265721.77999999997,2145.06,37081
5875.17,58.97,37087
8724.119999999999,316.98,37097
5875.17,58.97,37099
127018.04,8089.08,37119
77654.35,1860.02,37129
4549956.92,141402.87,37135
15013.5,0,37139
140924.26,12095.64,37147
8724.119999999999,316.98,37159
2060324.36,243543.59999999998,37183
17411.59,2431.81,37189
692956.65,5998.29,38017
325313.38,49326.71,38035
3272.62,0,39005
275467.92,24862.83,39009
96218.13,3490.06,39017
2228506.86,57158.82,39035
3708114.66,532642.09,39049
382859.04,10811.98,39057
1999529.15,107238.45,39061
7947.56,60.67,39093
279629.82,16318.09,39095
15332.470000000001,255.91,39099
802862.06,39090.29,39113
208380.61,3594.8100000000004,39133
96218.13,3490.06,39135
4644.58,334.94,39147
435504.52999999997,20692.010000000002,39153
3272.62,0,39169
48975.88,1042.96,39173
1157930.95,45566.71,40027
9136.29,1453.67,40037
2421.1,0,40069
50899.4,556.51,40083
15887.87,556.51,40109
9136.29,1453.67,40113
683473.74,30615.01,40119
2421.1,0,40123
124978.87,64104.549999999996,40143
1115360.46,38114.36,41003
28903.89,0,41005
2907.69,37.21,41029
5496.33,191.69,41035
436180.6,4315.83,41039
9974.44,0,41047
1759218.97,85531.94,41051
2538.07,0,41053
26796.4,916.13,41067
5334179.9799999995,173464.52,42003
8309.09,377.47,42017
2782.46,0,42021
3748367.1399999997,157602.26,42027
21054.54,636.51,42029
592.98,0,42037
912.53,0,42039
8106.18,0,42041
12597.28,764.78,42043
128293.06999999999,4123.89,42045
26266.73,2319.38,42049
522.85,0,42055
4908.05,0,42063
11293.86,15.51,42069
15916.07,585.04,42071
160868.19999999998,6145.95,42077
592.98,0,42079
113803.03,4128.09,42091
592.98,0,42093
169177.28999999998,6523.42,42095
6418256.84,459651.3,42101
19679.01,1155.07,42119
640.83,0,42125
11219.81,50.61,44001
13162.2,0,44005
1676661.05,15011.31,44007
462730.5,16111.61,44009
4623.450000000001,18.77,45003
812.31,0,45013
1182206.46,73577.21,45019
8930.19,1.91,45045
9954.37,8.44,45051
71216.31,197.48,45075
748492.47,75828.95999999999,45077
974383.41,35060.33,45079
43274.18,16.59,45091
287001.99,4688.57,46011
12180.2,42.09,46019
136583.77,247.28000000000003,46027
11258.99,426.24,46079
12180.2,42.09,46081
11258.99,426.24,46087
66851.93,3138.66,46093
15077.44,860.93,46099
66851.93,3138.66,46103
2775.86,0,46121
84138.36,1800.07,47021
3077994.39,116890.4,47037
3652.9700000000003,0,47051
34751.92,659.85,47065
1154298.71,43426.31,47093
3652.9700000000003,0,47115
9375.36,92.81,47125
48648.369999999995,389.12,47141
25648.7,1094.94,47149
559642.89,30616.32,47157
39781.02,3021.44,47179
553.38,13.36,47183
1095226.13,49843.26,48029
3889729.55,267239.93,48041
10441.48,186.26,48043
198223.25,5630.86,48055
29804.95,0,48061
198223.25,5630.86,48091
2613065.5,145877.52,48113
218814.65,7963.370000000001,48121
7091.1900000000005,405.13,48135
445313.3,9241.12,48141
45625.67,1659.48,48143
830828.32,14296.83,48167
198223.25,5630.86,48187
4787802.34,211190.47,48201
11623.1,0,48203
198223.25,5630.86,48209
66469.21,1794.1599999999999,48215
13236.9,644.77,48231
1790.16,8.43,48235
13199.35,859.8,48245
92429.11,2793.97,48273
940949.05,52480.93,48303
88098.81,6085.5599999999995,48309
22512.18,664.3,48347
188092.28,7315.58,48355
24523.239999999998,1607.25,48381
47947.61,1037.81,48423
641779.74,44107.67,48439
1790.16,8.43,48451
12880873.67,1355391.92,48453
17904.32,112.69,48471
60897.39,152.34,48473
15832.21,499.46,48479
777189.7,22815.32,49005
2109541.66,174426.08,49035
175356.14,19395.46,49049
944.57,193.68,49057
9368.23,20.37,50001
534283.93,13789.119999999999,50007
7784.3099999999995,23.11,50017
7784.3099999999995,23.11,50023
1755726.73,80330.18,51003
718.05,8.42,51023
274758.32,5046.53,51036
40927.83,17.1,51041
40927.83,17.1,51053
461879.31,9427.4,51059
274758.32,5046.53,51095
2317433.72,138824.92,51121
40927.83,17.1,51149
718.05,8.42,51163
1493.74,23.38,51177
274758.32,5046.53,51199
1755726.73,80330.18,51540
461879.31,9427.4,51600
1493.74,23.38,51630
63168.82,0,51650
24574.83,NA,51660
718.05,8.42,51678
5924.1,328.1,51700
594710.8,16990.42,51710
40927.83,17.1,51730
980862.75,34225.23,51760
274758.32,5046.53,51830
5539952.78,182758.08000000002,53033
11400.83,565.77,53037
13390.21,178.3,53053
29996.28,493.09,53061
17766.03,2493.77,53063
781.41,0.95,53067
810.04,0,53071
51150.17,1169.5,53073
1557338.92,63807.060000000005,53075
16083.92,0,54009
92083.88,3074.27,54011
27129,27,54039
16083.92,0,54051
780048.56,39698.94,54061
18845.09,90.33,54069
6239.22,296.13,55009
5207067.5200000005,107258.1,55025
5901.97,268.37,55031
4415.43,200.04,55033
4415.43,200.04,55035
1804.74,404.90999999999997,55043
1804.74,404.90999999999997,55049
16316.82,2153.49,55063
1804.74,404.90999999999997,55065
1340777.99,68498.05,55079
18865.57,303.27,55097
7591.01,60.39999999999999,55139
324173.72,11355.37,56001
1931.1999999999998,0,60010
30220.190000000002,255.12,66010
40733.26,0,72021
6295.23,0,72031
40733.26,0,72035
20123.28,0,72063
4993.7,0,72069
131609.56,8249.44,72097
37149.880000000005,0,72113
368565.25,10817.94,72127
99991.31,0,78030
